"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Nikola Jokić",,"PF","MIA","WAS",,"3,500",,
"Kyle Lowry",,"PG","MIA","WAS",,"6,600",,
"Caleb Martin",,"SF","MIA","WAS",,"4,900",,
"Jalen Green",,"PG/SG","HOU","IND",,"6,500",,
"Bones Hyland",,"PG/SG","DEN","DAL",,"5,000",,
"Max Strus",,"PF","MIA","WAS",,"5,800",,
"Anthony Davis",,"C","LAL","DET",,"10,200",,
"Haywood Highsmith",,"SF/PF","MIA","WAS",,"3,000",,
"Eric Gordon",,"SF","HOU","IND",,"4,000",,
"DeAndre Jordan",,"C","DEN","DAL",,"3,600",,
,,"C","MIA","WAS",,"3,000",,
"Joel Embiid",,"C","PHI","MIL",,"11,300",,
"Bruce Brown",,"PG/SF","DEN","DAL",,"5,400",,
"Stephen Curry",,"PG","GSW","NYK",,"10,600",,
"Tyrese Haliburton",,"PG","IND","HOU",,"9,200",,
"Devin Booker",,"PG/SG","PHX","UTA",,"9,400",,
"Jaden Ivey",,"SG","DET","LAL",,"6,400",,
"Deandre Ayton",,"C","PHX","UTA",,"6,200",,
"Klay Thompson",,"SG/SF","GSW","NYK",,"5,800",,
"Kenyon Martin Jr.",,"SF/PF","HOU","IND",,"4,300",,
"Ja Morant",,"PG","MEM","OKC",,"10,500",,
"Jamal Cain",,"PF","MIA","WAS",,"3,000",,
"Shai Gilgeous-Alexander",,"PG","OKC","MEM",,"9,900",,
"Alperen Şengün",,"C","HOU","IND",,"6,700",,
"Bojan Bogdanović",,"SF/PF","DET","LAL",,"5,800",,
"Cam Reddish",,"SG/SF","NYK","GSW",,"3,800",,
"Jarrett Allen",,"C","CLE","CHA",,"6,500",,
"Josh Giddey",,"PG/SG","OKC","MEM",,"6,500",,
"Myles Turner",,"C","IND","HOU",,"7,300",,
"Zach LaVine",,"SG","CHI","ORL",,"7,300",,
"RJ Barrett",,"SF","NYK","GSW",,"6,100",,
"Jalen Brunson",,"PG","NYK","GSW",,"7,100",,
"Jaren Jackson Jr.",,"PF/C","MEM","OKC",,"5,600",,
"Mikal Bridges",,"SF","PHX","UTA",,"6,300",,
"Lonnie Walker IV",,"SG/SF","LAL","DET",,"5,200",,
"Luka Dončić",,"PG","DAL","DEN",,"12,700",,
"Bradley Beal",,"PG/SG","WAS","MIA",,"8,200",,
"Michael Porter Jr.",,"SF","DEN","DAL",,"6,200",,
"Jalen Smith",,"PF","IND","HOU",,"5,000",,
"Jaylen Brown",,"SG/SF","BOS","NOP",,"8,500",,
"Russell Westbrook",,"PG","LAL","DET",,"7,800",,
"Kristaps Porziņģis",,"C","WAS","MIA",,"8,400",,
"Nikola Vučević",,"C","CHI","ORL",,"7,100",,
"Franz Wagner",,"SG/SF","ORL","CHI",,"6,900",,
"Terry Rozier",,"SG/SF","CHA","CLE",,"7,900",,
"Andrew Wiggins",,"SF/PF","GSW","NYK",,"6,600",,
"Zeke Nnaji",,"PF/C","DEN","DAL",,"3,200",,
"Immanuel Quickley",,"PG/SG","NYK","GSW",,"4,400",,
"Tyrese Maxey",,"PG","PHI","MIL",,"7,900",,
"Mike Conley",,"PG","UTA","PHX",,"5,900",,
"CJ McCollum",,"PG/SG","NOP","BOS",,"8,300",,
"Saddiq Bey",,"SF/PF","DET","LAL",,"5,300",,
"Jayson Tatum",,"SF/PF","BOS","NOP",,"10,800",,
"Andre Drummond",,"C","CHI","ORL",,"3,800",,
"Buddy Hield",,"SG/SF","IND","HOU",,"6,900",,
"Giannis Antetokounmpo",,"PF/C","MIL","PHI",,"12,600",,
"Donovan Mitchell",,"PG/SG","CLE","CHA",,"9,100",,
"Kentavious Caldwell-Pope",,"SG","DEN","DAL",,"4,700",,
"Jordan Clarkson",,"PG/SG","UTA","PHX",,"6,500",,
"Malcolm Brogdon",,"PG/SG","BOS","NOP",,"5,000",,
"Cameron Payne",,"PG","PHX","UTA",,"6,800",,
"Julius Randle",,"PF","NYK","GSW",,"8,400",,
"Isaiah Jackson",,"PF/C","IND","HOU",,"3,900",,
"Kyle Kuzma",,"PF","WAS","MIA",,"7,800",,
"Killian Hayes",,"PG","DET","LAL",,"4,600",,
"Brandon Ingram",,"SG","NOP","BOS",,"8,100",,
"Jalen Suggs",,"PG/SG","ORL","CHI",,"6,100",,
"Draymond Green",,"PF","GSW","NYK",,"6,000",,
"Luguentz Dort",,"SF/PF","OKC","MEM",,"5,300",,
"Patrick Beverley",,"PG/SG","LAL","DET",,"3,900",,
"Brandon Clarke",,"PF/C","MEM","OKC",,"4,200",,
"Troy Brown Jr.",,"SF/PF","LAL","DET",,"4,000",,
"DeMar DeRozan",,"SF/PF","CHI","ORL",,"8,000",,
"Al Horford",,"C","BOS","NOP",,"5,700",,
"Kelly Olynyk",,"C","UTA","PHX",,"5,200",,
"Jarred Vanderbilt",,"PF/C","UTA","PHX",,"5,100",,
"Herbert Jones",,"SF/PF","NOP","BOS",,"4,600",,
"Lauri Markkanen",,"SF/PF","UTA","PHX",,"7,700",,
"Darius Garland",,"PG","CLE","CHA",,"9,000",,
"Jalen Duren",,"C","DET","LAL",,"3,700",,
"Evan Mobley",,"PF/C","CLE","CHA",,"6,400",,
"Steven Adams",,"C","MEM","OKC",,"5,300",,
"Monte Morris",,"PG","WAS","MIA",,"5,000",,
"Derrick White",,"PG/SG","BOS","NOP",,"5,400",,
"Aleksej Pokusevski",,"PF/C","OKC","MEM",,"5,200",,
"Kevon Looney",,"C","GSW","NYK",,"4,600",,
"Tari Eason",,"PF","HOU","IND",,"3,900",,
"Jonas Valančiūnas",,"C","NOP","BOS",,"6,800",,
"P.J. Washington",,"PF","CHA","CLE",,"5,700",,
"Dillon Brooks",,"SG/SF","MEM","OKC",,"6,400",,
"Tim Hardaway Jr.",,"SG/SF","DAL","DEN",,"4,500",,
"Josh Christopher",,"PG/SG","HOU","IND",,"3,000",,
"Kelly Oubre Jr.",,"SG/SF","CHA","CLE",,"6,800",,
"Trey Murphy III",,"SF","NOP","BOS",,"4,700",,
"Jalen Williams",,"SG/SF","OKC","MEM",,"4,000",,
"Jeff Green",,"PF/C","DEN","DAL",,"3,500",,
"Wendell Carter Jr.",,"C","ORL","CHI",,"7,800",,
"Austin Reaves",,"SG/SF","LAL","DET",,"4,100",,
"Hamidou Diallo",,"SG/SF","DET","LAL",,"3,100",,
"Marvin Bagley III",,"C","DET","LAL",,"4,700",,
"De'Anthony Melton",,"PG/SG","PHI","MIL",,"6,000",,
"Aaron Wiggins",,"SG/SF","OKC","MEM",,"3,200",,
"John Konchar",,"SG/SF","MEM","OKC",,"5,400",,
"Torrey Craig",,"PF/C","PHX","UTA",,"4,500",,
"Malik Beasley",,"SG/SF","UTA","PHX",,"4,500",,
"Will Barton",,"SG/SF","WAS","MIA",,"3,900",,
"P.J. Tucker",,"PF/C","PHI","MIL",,"3,400",,
"Spencer Dinwiddie",,"SG","DAL","DEN",,"7,400",,
"Bol Bol",,"PF/C","ORL","CHI",,"6,500",,
"Jabari Smith Jr.",,"PF/C","HOU","IND",,"5,200",,
"Alec Burks",,"PG/SG","DET","LAL",,"4,400",,
"Christian Wood",,"PF/C","DAL","DEN",,"6,900",,
"Mason Plumlee",,"C","CHA","CLE",,"6,100",,
"Jordan Poole",,"PG/SG","GSW","NYK",,"6,000",,
"Bennedict Mathurin",,"SG/SF","IND","HOU",,"5,900",,
"Chuma Okeke",,"SF/PF","ORL","CHI",,"5,200",,
"Deni Avdija",,"SF/PF","WAS","MIA",,"4,600",,
"Obi Toppin",,"PF/C","NYK","GSW",,"4,200",,
"Damion Lee",,"SG/SF","PHX","UTA",,"3,500",,
"Ayo Dosunmu",,"PG/SG","CHI","ORL",,"4,300",,
"Patrick Williams",,"SF/PF","CHI","ORL",,"4,100",,
