"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Joel Embiid","58.63","C","PHI","MIL","34.4","11,300","5.19","2.13"
"Luka Dončić","57.98","PG","DAL","DEN","35.3","12,700","4.57","-5.52"
"Giannis Antetokounmpo","54.75","PF/C","MIL","PHI","33.1","12,600","4.35","-8.25"
"Anthony Davis","54.25","C","LAL","DET","35.2","10,200","5.32","3.25"
"Ja Morant","52.91","PG","MEM","OKC","33.0","10,500","5.04","0.41"
"Stephen Curry","51.96","PG","GSW","NYK","33.6","10,600","4.90","-1.04"
"Jayson Tatum","49.76","SF/PF","BOS","NOP","36.8","10,800","4.61","-4.24"
"Shai Gilgeous-Alexander","49.10","PG","OKC","MEM","34.3","9,900","4.96","-0.40"
"Devin Booker","47.43","PG/SG","PHX","UTA","38.0","9,400","5.05","0.43"
"Tyrese Haliburton","46.62","PG","IND","HOU","33.3","9,200","5.07","0.62"
"Donovan Mitchell","42.90","PG/SG","CLE","CHA","35.9","9,100","4.71","-2.60"
"Kristaps Porziņģis","42.80","C","WAS","MIA","31.4","8,400","5.10","0.80"
"Kyle Lowry","42.68","PG","MIA","WAS","36.1","6,600","6.47","9.68"
"Russell Westbrook","42.08","PG","LAL","DET","30.7","7,800","5.40","3.08"
"Jaylen Brown","41.55","SG/SF","BOS","NOP","36.2","8,500","4.89","-0.95"
"Julius Randle","39.95","PF","NYK","GSW","32.9","8,400","4.76","-2.05"
"CJ McCollum","39.31","PG/SG","NOP","BOS","35.0","8,300","4.74","-2.19"
"Darius Garland","38.83","PG","CLE","CHA","35.6","9,000","4.31","-6.17"
"Brandon Ingram","38.54","SG","NOP","BOS","33.8","8,100","4.76","-1.96"
"Jalen Green","38.44","PG/SG","HOU","IND","34.8","6,500","5.91","5.94"
"Bradley Beal","37.93","PG/SG","WAS","MIA","35.3","8,200","4.63","-3.07"
"Tyrese Maxey","37.75","PG","PHI","MIL","37.1","7,900","4.78","-1.75"
"Terry Rozier","37.72","SG/SF","CHA","CLE","35.3","7,900","4.77","-1.78"
"Zach LaVine","37.56","SG","CHI","ORL","34.0","7,300","5.15","1.06"
"Nikola Vučević","37.39","C","CHI","ORL","30.5","7,100","5.27","1.89"
"Kyle Kuzma","37.27","PF","WAS","MIA","33.4","7,800","4.78","-1.73"
"Myles Turner","36.95","C","IND","HOU","27.6","7,300","5.06","0.45"
"Caleb Martin","36.95","SF","MIA","WAS","38.8","4,900","7.54","12.45"
"DeMar DeRozan","36.77","SF/PF","CHI","ORL","32.2","8,000","4.60","-3.23"
"Lauri Markkanen","36.17","SF/PF","UTA","PHX","32.4","7,700","4.70","-2.33"
"Wendell Carter Jr.","36.01","C","ORL","CHI","31.3","7,800","4.62","-2.99"
"Alperen Şengün","35.53","C","HOU","IND","28.0","6,700","5.30","2.03"
"Jalen Brunson","35.50","PG","NYK","GSW","32.0","7,100","5.00","0.00"
"Mikal Bridges","35.30","SF","PHX","UTA","40.7","6,300","5.60","3.80"
"Jaden Ivey","34.79","SG","DET","LAL","33.6","6,400","5.44","2.79"
"Deandre Ayton","34.79","C","PHX","UTA","30.0","6,200","5.61","3.79"
"Max Strus","34.76","PF","MIA","WAS","37.9","5,800","5.99","5.76"
"Josh Giddey","34.50","PG/SG","OKC","MEM","30.3","6,500","5.31","2.00"
"Jarrett Allen","33.75","C","CLE","CHA","30.4","6,500","5.19","1.25"
"Andrew Wiggins","32.89","SF/PF","GSW","NYK","32.3","6,600","4.98","-0.11"
"Bones Hyland","32.71","PG/SG","DEN","DAL","27.4","5,000","6.54","7.71"
"Buddy Hield","32.70","SG/SF","IND","HOU","31.1","6,900","4.74","-1.80"
"Cameron Payne","32.69","PG","PHX","UTA","31.3","6,800","4.81","-1.31"
"Franz Wagner","32.63","SG/SF","ORL","CHI","32.4","6,900","4.73","-1.87"
"RJ Barrett","32.24","SF","NYK","GSW","34.2","6,100","5.29","1.74"
"Jrue Holiday","32.08","PG","MIL","PHI","27.6","8,700","3.69","-11.42"
"Bojan Bogdanović","31.89","SF/PF","DET","LAL","31.9","5,800","5.50","2.89"
"Jordan Clarkson","31.77","PG/SG","UTA","PHX","30.4","6,500","4.89","-0.73"
"Christian Wood","31.67","PF/C","DAL","DEN","26.2","6,900","4.59","-2.83"
"Michael Porter Jr.","31.17","SF","DEN","DAL","30.3","6,200","5.03","0.17"
"Spencer Dinwiddie","30.96","SG","DAL","DEN","32.2","7,400","4.18","-6.04"
"Kelly Oubre Jr.","30.64","SG/SF","CHA","CLE","32.1","6,800","4.51","-3.36"
"Bol Bol","30.60","PF/C","ORL","CHI","28.7","6,500","4.71","-1.90"
"Bruce Brown","30.57","PG/SF","DEN","DAL","31.4","5,400","5.66","3.57"
"Evan Mobley","30.49","PF/C","CLE","CHA","32.3","6,400","4.76","-1.51"
"Nikola Jokić","30.48","PF","MIA","WAS","35.7","3,500","8.71","12.98"
"Mike Conley","30.45","PG","UTA","PHX","30.2","5,900","5.16","0.95"
"Jonas Valančiūnas","30.43","C","NOP","BOS","23.2","6,800","4.48","-3.57"
"Klay Thompson","30.32","SG/SF","GSW","NYK","29.0","5,800","5.23","1.32"
"Jaren Jackson Jr.","29.95","PF/C","MEM","OKC","23.9","5,600","5.35","1.95"
"Dillon Brooks","29.84","SG/SF","MEM","OKC","30.0","6,400","4.66","-2.16"
"Draymond Green","29.39","PF","GSW","NYK","28.8","6,000","4.90","-0.61"
"Jalen Suggs","28.99","PG/SG","ORL","CHI","29.6","6,100","4.75","-1.51"
"Lonnie Walker IV","28.96","SG/SF","LAL","DET","33.3","5,200","5.57","2.96"
"Bobby Portis","28.69","PF/C","MIL","PHI","26.1","7,000","4.10","-6.31"
"Saddiq Bey","28.56","SF/PF","DET","LAL","31.7","5,300","5.39","2.06"
"Al Horford","28.47","C","BOS","NOP","31.8","5,700","5.00","-0.03"
"Malcolm Brogdon","28.40","PG/SG","BOS","NOP","26.6","5,000","5.68","3.40"
"Brook Lopez","28.40","C","MIL","PHI","31.0","6,600","4.30","-4.60"
"Jalen Smith","28.29","PF","IND","HOU","24.6","5,000","5.66","3.29"
"De'Anthony Melton","27.62","PG/SG","PHI","MIL","28.7","6,000","4.60","-2.38"
"Mason Plumlee","27.51","C","CHA","CLE","26.8","6,100","4.51","-2.99"
"Kelly Olynyk","27.25","C","UTA","PHX","27.4","5,200","5.24","1.25"
"P.J. Washington","26.80","PF","CHA","CLE","31.9","5,700","4.70","-1.70"
"Kevin Love","26.69","PF/C","CLE","CHA","21.4","5,900","4.52","-2.81"
"DeAndre Jordan","26.55","C","DEN","DAL","25.3","3,600","7.38","8.55"
"Jabari Smith Jr.","26.53","PF/C","HOU","IND","31.2","5,200","5.10","0.53"
"Jarred Vanderbilt","26.49","PF/C","UTA","PHX","25.8","5,100","5.19","0.99"
"Kenyon Martin Jr.","26.36","SF/PF","HOU","IND","29.3","4,300","6.13","4.86"
"Jordan Poole","26.30","PG/SG","GSW","NYK","25.1","6,000","4.38","-3.70"
"Gordon Hayward","26.23","SF","CHA","CLE","27.7","6,700","3.91","-7.27"
"Bennedict Mathurin","26.19","SG/SF","IND","HOU","26.1","5,900","4.44","-3.31"
"Aleksej Pokusevski","26.16","PF/C","OKC","MEM","26.3","5,200","5.03","0.16"
"Kentavious Caldwell-Pope","26.11","SG","DEN","DAL","32.7","4,700","5.56","2.61"
"Luguentz Dort","25.90","SF/PF","OKC","MEM","29.2","5,300","4.89","-0.60"
"Monte Morris","25.85","PG","WAS","MIA","29.6","5,000","5.17","0.85"
"Steven Adams","25.72","C","MEM","OKC","23.3","5,300","4.85","-0.78"
"Killian Hayes","25.63","PG","DET","LAL","29.9","4,600","5.57","2.63"
"Isaiah Hartenstein","24.98","C","NYK","GSW","24.0","5,800","4.31","-4.02"
"Derrick White","24.93","PG/SG","BOS","NOP","29.4","5,400","4.62","-2.07"
"Marvin Bagley III","24.92","C","DET","LAL","25.7","4,700","5.30","1.42"
"Immanuel Quickley","24.50","PG/SG","NYK","GSW","24.1","4,400","5.57","2.50"
"John Konchar","24.38","SG/SF","MEM","OKC","30.0","5,400","4.52","-2.62"
"Andre Drummond","24.22","C","CHI","ORL","17.8","3,800","6.37","5.22"
"Isaiah Jackson","24.22","PF/C","IND","HOU","20.3","3,900","6.21","4.72"
,"24.17","C","MIA","WAS","27.6","3,000","8.06","9.17"
"Eric Gordon","23.96","SF","HOU","IND","29.7","4,000","5.99","3.96"
"Herbert Jones","23.93","SF/PF","NOP","BOS","31.5","4,600","5.20","0.93"
"Kevon Looney","23.83","C","GSW","NYK","24.0","4,600","5.18","0.83"
"Chuma Okeke","23.44","SF/PF","ORL","CHI","28.3","5,200","4.51","-2.56"
"Torrey Craig","23.15","PF/C","PHX","UTA","28.1","4,500","5.15","0.65"
"Patrick Beverley","23.06","PG/SG","LAL","DET","27.0","3,900","5.91","3.56"
"Tim Hardaway Jr.","23.03","SG/SF","DAL","DEN","26.8","4,500","5.12","0.53"
"Cam Reddish","23.01","SG/SF","NYK","GSW","31.4","3,800","6.06","4.01"
"Troy Brown Jr.","22.79","SF/PF","LAL","DET","29.4","4,000","5.70","2.79"
"Jamal Cain","22.32","PF","MIA","WAS","31.9","3,000","7.44","7.32"
"Deni Avdija","22.09","SF/PF","WAS","MIA","26.0","4,600","4.80","-0.91"
"Grant Williams","21.81","SF/PF","BOS","NOP","30.8","5,100","4.28","-3.69"
"Tari Eason","21.77","PF","HOU","IND","20.3","3,900","5.58","2.27"
"Trey Murphy III","21.50","SF","NOP","BOS","26.9","4,700","4.57","-2.00"
"Malik Beasley","21.45","SG/SF","UTA","PHX","26.3","4,500","4.77","-1.05"
"Santi Aldama","21.38","PF","MEM","OKC","24.5","5,000","4.28","-3.62"
"Collin Sexton","21.37","PG/SG","UTA","PHX","23.0","4,600","4.65","-1.63"
"Alec Burks","21.18","PG/SG","DET","LAL","21.1","4,400","4.81","-0.82"
"Larry Nance Jr.","20.98","PF/C","NOP","BOS","22.5","4,500","4.66","-1.52"
"Jalen Duren","20.95","C","DET","LAL","22.5","3,700","5.66","2.45"
"Rui Hachimura","20.90","PF","WAS","MIA","23.4","4,400","4.75","-1.10"
"Brandon Clarke","20.83","PF/C","MEM","OKC","17.5","4,200","4.96","-0.17"
"Dorian Finney-Smith","20.62","PF","DAL","DEN","32.6","4,300","4.79","-0.88"
"Haywood Highsmith","20.59","SF/PF","MIA","WAS","30.2","3,000","6.86","5.59"
"Ayo Dosunmu","20.39","PG/SG","CHI","ORL","27.1","4,300","4.74","-1.11"
"Will Barton","19.89","SG/SF","WAS","MIA","23.3","3,900","5.10","0.39"
"Jevon Carter","19.88","PG/SG","MIL","PHI","28.4","5,800","3.43","-9.12"
"Jalen McDaniels","19.60","SF/PF","CHA","CLE","23.4","4,700","4.17","-3.90"
"Austin Reaves","19.56","SG/SF","LAL","DET","28.1","4,100","4.77","-0.94"
"Tyus Jones","19.49","PG","MEM","OKC","20.2","4,600","4.24","-3.51"
"Jalen Williams","19.34","SG/SF","OKC","MEM","26.0","4,000","4.83","-0.66"
"Obi Toppin","19.33","PF/C","NYK","GSW","18.4","4,200","4.60","-1.67"
"Andrew Nembhard","19.25","PG/SG","IND","HOU","24.6","4,100","4.69","-1.25"
"Caris LeVert","19.11","SG/SF","CLE","CHA","22.7","5,800","3.30","-9.89"
"Mo Bamba","19.10","C","ORL","CHI","17.5","5,000","3.82","-5.90"
"Lamar Stevens","19.03","SF","CLE","CHA","27.2","3,500","5.44","1.53"
"Usman Garuba","19.02","C","HOU","IND","18.2","3,800","5.01","0.02"
"Grayson Allen","18.96","SG/SF","MIL","PHI","26.6","4,900","3.87","-5.54"
"Patrick Williams","18.87","SF/PF","CHI","ORL","26.1","4,100","4.60","-1.63"
"Dennis Schröder","18.19","PG","LAL","DET","18.3","4,700","3.87","-5.31"
"Nick Richards","17.86","C","CHA","CLE","20.4","3,500","5.10","0.36"
"Josh Christopher","17.80","PG/SG","HOU","IND","19.3","3,000","5.93","2.80"
"Alex Caruso","17.77","PG/SG","CHI","ORL","23.2","3,700","4.80","-0.73"
"Théo Maledon","17.64","PG","CHA","CLE","22.5","3,900","4.52","-1.86"
"Naji Marshall","17.63","SF/PF","NOP","BOS","22.7","3,300","5.34","1.13"
"Zeke Nnaji","17.54","PF/C","DEN","DAL","22.4","3,200","5.48","1.54"
"Jeff Green","17.44","PF/C","DEN","DAL","24.5","3,500","4.98","-0.06"
"Damion Lee","17.27","SG/SF","PHX","UTA","23.5","3,500","4.93","-0.23"
"Aaron Wiggins","16.95","SG/SF","OKC","MEM","23.5","3,200","5.30","0.95"
"T.J. McConnell","16.90","PG","IND","HOU","17.3","3,400","4.97","-0.10"
"MarJon Beauchamp","16.82","SF","MIL","PHI","27.9","4,000","4.21","-3.18"
"Terrence Ross","16.75","SG/SF","ORL","CHI","23.9","3,600","4.65","-1.25"
"Talen Horton-Tucker","16.39","SG/SF","UTA","PHX","16.9","3,500","4.68","-1.11"
"Danuel House Jr.","15.96","SF/PF","PHI","MIL","26.4","3,200","4.99","-0.04"
"Wenyen Gabriel","15.68","PF/C","LAL","DET","17.1","3,200","4.90","-0.32"
"Goran Dragić","15.62","PG","CHI","ORL","17.2","4,000","3.90","-4.38"
"Derrick Rose","15.57","PG","NYK","GSW","14.9","3,200","4.87","-0.43"
"Aaron Nesmith","15.40","SF","IND","HOU","20.7","3,500","4.40","-2.10"
"Hamidou Diallo","15.34","SG/SF","DET","LAL","15.8","3,100","4.95","-0.16"
"P.J. Tucker","15.34","PF/C","PHI","MIL","27.8","3,400","4.51","-1.66"
"Jericho Sims","15.27","PF/C","NYK","GSW","19.1","3,700","4.13","-3.23"
"Georges Niang","15.26","PF","PHI","MIL","21.8","4,100","3.72","-5.24"
"Daishen Nix","15.19","PG/SG","HOU","IND","17.7","3,200","4.75","-0.81"
"Jeremiah Robinson-Earl","15.12","C","OKC","MEM","17.0","3,400","4.45","-1.88"
"Paul Reed","15.12","C","PHI","MIL","14.3","3,000","5.04","0.12"
"Matisse Thybulle","15.01","SG/SF","PHI","MIL","23.8","3,300","4.55","-1.49"
"Jose Alvarado","14.86","PG","NOP","BOS","15.9","3,500","4.24","-2.64"
"Anthony Lamb","14.75","PF","GSW","NYK","19.4","3,700","3.99","-3.75"
"Mike Muscala","14.71","C","OKC","MEM","13.6","3,100","4.75","-0.79"
"Daniel Gafford","14.68","C","WAS","MIA","14.1","3,200","4.59","-1.32"
"Kenrich Williams","14.64","SF/PF","OKC","MEM","18.2","3,500","4.18","-2.86"
"Jock Landale","14.63","C","PHX","UTA","14.6","3,200","4.57","-1.37"
"Shake Milton","14.48","PG/SG","PHI","MIL","18.5","3,100","4.67","-1.02"
"Reggie Bullock","14.47","SF","DAL","DEN","28.0","3,500","4.13","-3.03"
"Dyson Daniels","14.43","SG/SF","NOP","BOS","17.0","3,100","4.65","-1.07"
"Walker Kessler","14.17","C","UTA","PHX","17.6","3,400","4.17","-2.83"
"Corey Kispert","14.16","SG/SF","WAS","MIA","21.6","3,400","4.16","-2.84"
"Duane Washington Jr.","14.07","PG/SG","PHX","UTA","15.5","3,300","4.26","-2.43"
"Sam Hauser","13.96","SF/PF","BOS","NOP","20.6","3,900","3.58","-5.54"
"Dwight Powell","13.65","C","DAL","DEN","17.5","4,400","3.10","-8.35"
"Cedi Osman","13.33","SG/SF","CLE","CHA","17.7","3,400","3.92","-3.67"
"Luke Kornet","13.06","PF/C","BOS","NOP","14.5","3,300","3.96","-3.44"
"Donte DiVincenzo","13.04","PG/SG","GSW","NYK","15.6","3,200","4.07","-2.96"
"Javonte Green","12.99","SF/PF","CHI","ORL","15.7","3,300","3.94","-3.51"
"Lindy Waters III","12.88","SG/SF","OKC","MEM","15.8","3,300","3.90","-3.62"
"Jake LaRavia","12.38","PF","MEM","OKC","19.3","3,000","4.13","-2.62"
"Jonathan Kuminga","12.35","PF/C","GSW","NYK","13.6","3,400","3.63","-4.65"
"Davon Reed","12.23","SF","DEN","DAL","16.2","3,000","4.08","-2.77"
"Isaiah Livers","12.04","PF","DET","LAL","17.5","3,300","3.65","-4.46"
"Josh Green","11.71","SF","DAL","DEN","17.9","3,300","3.55","-4.79"
"James Bouknight","11.26","SG","CHA","CLE","15.2","3,000","3.75","-3.74"
"JaMychal Green","11.17","C","GSW","NYK","12.0","3,100","3.60","-4.33"
"David Roddy","11.10","SG/SF","MEM","OKC","16.9","3,300","3.36","-5.40"
"Christian Braun","10.87","SG/SF","DEN","DAL","18.0","3,100","3.51","-4.63"
"Coby White","10.75","PG/SG","CHI","ORL","14.0","3,200","3.36","-5.25"
"Jordan Nwora","10.73","PF","MIL","PHI","14.8","3,900","2.75","-8.77"
"Oshae Brissett","10.31","PF","IND","HOU","12.9","3,100","3.33","-5.19"
"Matt Ryan","9.01","SF","LAL","DET","13.4","3,000","3.00","-5.99"
"George Hill","8.98","PG","MIL","PHI","15.9","3,300","2.72","-7.52"
"Kevon Harris","8.73","SG","ORL","CHI","13.6","3,000","2.91","-6.27"
"Caleb Houstan","8.67","SF/PF","ORL","CHI","18.2","3,200","2.71","-7.33"
"Vlatko Čančar","8.32","SF","DEN","DAL","11.1","3,000","2.77","-6.68"
"Devonte' Graham","8.17","PG/SG","NOP","BOS","10.6","3,200","2.55","-7.83"
"Garrison Mathews","8.06","SG/SF","HOU","IND","11.5","3,000","2.69","-6.94"
"Montrezl Harrell","7.76","C","PHI","MIL","8.2","4,500","1.72","-14.74"
"R.J. Hampton","7.48","PG/SG","ORL","CHI","9.7","3,400","2.20","-9.52"
"Josh Okogie","7.26","SF/PF","PHX","UTA","10.6","3,100","2.34","-8.24"
"Kendrick Nunn","6.90","PG/SG","LAL","DET","7.3","3,000","2.30","-8.10"
"Serge Ibaka","6.82","C","MIL","PHI","8.3","3,100","2.20","-8.68"
"JaVale McGee","6.79","C","DAL","DEN","5.8","4,100","1.66","-13.71"
"Simone Fontecchio","6.74","SF/PF","UTA","PHX","9.7","3,000","2.25","-8.26"
"Payton Pritchard","6.71","PG","BOS","NOP","7.3","4,000","1.68","-13.29"
"Facundo Campazzo","6.46","PG","DAL","DEN","7.9","3,200","2.02","-9.54"
"Isaac Okoro","6.01","SG","CLE","CHA","11.8","3,200","1.88","-9.99"
"Cory Joseph","5.62","PG","DET","LAL","6.7","3,000","1.87","-9.38"
"Jaylin Williams","5.41","C","OKC","MEM","7.5","3,000","1.80","-9.59"
"Dario Šarić","4.99","PF","PHX","UTA","5.2","3,000","1.66","-10.01"
"Blake Griffin","4.64","C","BOS","NOP","5.3","3,100","1.50","-10.86"
"Admiral Schofield","4.35","PF","ORL","CHI","6.5","3,000","1.45","-10.65"
,"3.47","SF/PF","DAL","DEN","4.9","3,000","1.16","-11.53"
"Moses Moody","3.33","SG/SF","GSW","NYK","4.6","3,000","1.11","-11.67"
"Bismack Biyombo","3.28","C","PHX","UTA","3.3","3,000","1.09","-11.72"
"Evan Fournier","2.92","SG/SF","NYK","GSW","3.6","3,000","0.97","-12.08"
"JT Thor","2.73","PF","CHA","CLE","3.9","3,000","0.91","-12.27"
"Boban Marjanović","2.58","C","HOU","IND","1.9","3,000","0.86","-12.42"
"Dewayne Dedmon","2.11","C","MIA","WAS","1.7","3,900","0.54","-17.39"
"Tony Bradley","1.93","C","CHI","ORL","1.9","3,000","0.64","-13.07"
"Damian Jones","1.88","C","LAL","DET","1.7","3,000","0.63","-13.12"
"Goga Bitadze","1.86","C","IND","HOU","1.7","3,000","0.62","-13.14"
"Kai Jones","1.79","C","CHA","CLE","2.1","3,000","0.60","-13.21"
"Xavier Tillman Sr.","1.57","C","MEM","OKC","1.6","3,000","0.52","-13.43"
"Frank Ntilikina","1.53","PG/SG","DAL","DEN","2.1","3,100","0.49","-13.97"
"Nerlens Noel","1.53","C","DET","LAL","1.7","3,000","0.51","-13.47"
"Raul Neto","1.52","PG","CLE","CHA","2.1","3,000","0.51","-13.48"
"Duncan Robinson","1.50","SG/SF","MIA","WAS","1.7","3,200","0.47","-14.50"
"Robin Lopez","1.49","C","CLE","CHA","2.1","3,000","0.50","-13.51"
"Kennedy Chandler","1.47","PG","MEM","OKC","1.6","3,000","0.49","-13.53"
"Peyton Watson","1.46","SG","DEN","DAL","2.1","3,000","0.49","-13.54"
"Derrick Jones Jr.","1.44","SF/PF","CHI","ORL","1.9","3,100","0.47","-14.06"
"Kevin Knox","1.42","SF/PF","DET","LAL","1.7","3,000","0.47","-13.58"
"Terry Taylor","1.42","PF/C","IND","HOU","1.7","3,000","0.47","-13.58"
"Theo Pinson","1.41","SG","DAL","DEN","2.1","3,000","0.47","-13.59"
"Ty Jerome","1.41","PG/SG","GSW","NYK","1.7","3,000","0.47","-13.59"
"Jordan Goodwin","1.40","PG/SG","WAS","MIA","1.7","4,200","0.33","-19.60"
"Isaiah Mobley","1.39","PF/C","CLE","CHA","2.1","3,000","0.46","-13.61"
"Udoka Azubuike","1.37","C","UTA","PHX","1.4","3,000","0.46","-13.63"
"Rodney McGruder","1.36","SG/SF","DET","LAL","1.7","3,000","0.45","-13.64"
"Svi Mykhailiuk","1.36","SF","NYK","GSW","1.7","3,000","0.45","-13.64"
"Ryan Rollins","1.35","PG","GSW","NYK","1.7","3,000","0.45","-13.65"
"Gary Harris","1.31","SG","ORL","CHI","1.9","4,500","0.29","-21.19"
"Jaxson Hayes","1.30","C","NOP","BOS","1.5","3,000","0.43","-13.70"
"Quentin Grimes","1.30","SG/SF","NYK","GSW","1.7","3,000","0.43","-13.70"
"Miles McBride","1.28","PG","NYK","GSW","1.7","3,000","0.43","-13.72"
"Nickeil Alexander-Walker","1.23","PG","UTA","PHX","1.4","3,000","0.41","-13.77"
"Anthony Gill","1.18","SF/PF","WAS","MIA","1.7","3,000","0.39","-13.82"
"Ryan Arcidiacono","1.07","PG","NYK","GSW","1.7","3,000","0.36","-13.93"
"Justin Jackson","1.06","SG/SF","BOS","NOP","1.5","3,000","0.35","-13.94"
"Ish Wainright","1.04","PF","PHX","UTA","1.4","3,000","0.35","-13.96"
"Sandro Mamukelashvili","1.00","C","MIL","PHI","1.4","3,000","0.33","-14.00"
"Thanasis Antetokounmpo","0.94","PF","MIL","PHI","1.4","3,000","0.31","-14.06"
"Noah Vonleh","0.89","C","BOS","NOP","1.5","3,000","0.30","-14.11"
"Julian Champagnie","0.77","SF","PHI","MIL","1.4","3,000","0.26","-14.23"
"Marcus Smart","0.00","PG/SG","BOS","NOP","0.0","6,000","0.00","-30.00"
"JD Davison","0.00","PG/SG","BOS","NOP","0.0","3,000","0.00","-15.00"
"Mfiondu Kabengele","0.00","C","BOS","NOP","0.0","3,000","0.00","-15.00"
"LaMelo Ball","0.00","PG","CHA","CLE","0.0","8,600","0.00","-43.00"
"Dennis Smith Jr.","0.00","PG","CHA","CLE","0.0","6,300","0.00","-31.50"
"Cody Martin","0.00","SG/SF","CHA","CLE","0.0","4,500","0.00","-22.50"
"Mark Williams","0.00","C","CHA","CLE","0.0","3,000","0.00","-15.00"
"Dalen Terry","0.00","SG/SF","CHI","ORL","0.0","3,000","0.00","-15.00"
"Malcolm Hill","0.00","SF","CHI","ORL","0.0","3,000","0.00","-15.00"
"Marko Simonovic","0.00","PF/C","CHI","ORL","0.0","3,000","0.00","-15.00"
"Ricky Rubio","0.00","PG","CLE","CHA","0.0","3,000","0.00","-15.00"
"Dylan Windler","0.00","SG/SF","CLE","CHA","0.0","3,000","0.00","-15.00"
"Dean Wade","0.00","SF/PF","CLE","CHA","0.0","3,700","0.00","-18.50"
"Tyler Dorsey","0.00","PG/SG","DAL","DEN","0.0","3,000","0.00","-15.00"
"Jaden Hardy","0.00","PG/SG","DAL","DEN","0.0","3,000","0.00","-15.00"
"Jamal Murray","0.00","PG","DEN","DAL","0.0","7,000","0.00","-35.00"
"Ish Smith","0.00","PG","DEN","DAL","0.0","3,000","0.00","-15.00"
"Aaron Gordon","0.00","PF","DEN","DAL","0.0","5,800","0.00","-29.00"
"Nikola Jokić","0.00","C","DEN","DAL","0.0","11,600","0.00","-58.00"
"Cade Cunningham","0.00","PG","DET","LAL","0.0","7,800","0.00","-39.00"
"Isaiah Stewart","0.00","PF/C","DET","LAL","0.0","5,500","0.00","-27.50"
"Patrick Baldwin Jr.","0.00","PF","GSW","NYK","0.0","3,000","0.00","-15.00"
"James Wiseman","0.00","C","GSW","NYK","0.0","3,000","0.00","-15.00"
"Kevin Porter Jr.","0.00","PG","HOU","IND","0.0","7,500","0.00","-37.50"
"Jae'Sean Tate","0.00","SF/PF","HOU","IND","0.0","4,200","0.00","-21.00"
"Darius Days","0.00","PF","HOU","IND","0.0","3,000","0.00","-15.00"
"Bruno Fernando","0.00","C","HOU","IND","0.0","4,100","0.00","-20.50"
"Chris Duarte","0.00","SG/SF","IND","HOU","0.0","4,000","0.00","-20.00"
