"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Bruce Brown","5,500","SG","DEN@DAL","DEN","DAL","38.0"
"Dillon Brooks","6,100","SG/SF","MEM@BKN","MEM","BKN","34.9"
"Tyus Jones","5,900","PG","MEM@BKN","MEM","BKN","32.1"
"Alec Burks","4,300","PG/SG","DET@SAC","DET","SAC","31.9"
"Bojan Bogdanovic","5,800","SF/PF","DET@SAC","DET","SAC","29.0"
"Jalen Green","6,900","SG/PG","GSW@HOU","HOU","GSW","28.0"
"Luka Doncic","12,000","PG/SG","DEN@DAL","DAL","DEN","26.2"
"Kristaps Porzingis","8,600","C/PF","CHA@WAS","WAS","CHA","25.1"
"Bam Adebayo","8,100","C/PF","MIA@CLE","MIA","CLE","24.3"
"Klay Thompson","5,500","SG/SF","GSW@HOU","GSW","HOU","24.1"
"Jarrett Allen","7,400","C/PF","MIA@CLE","CLE","MIA","22.5"
"Kyrie Irving","8,800","PG/SG","MEM@BKN","BKN","MEM","20.7"
"Jaden Ivey","6,900","SG","DET@SAC","DET","SAC","20.7"
"Stephen Curry","10,500","PG","GSW@HOU","GSW","HOU","20.3"
"Brandon Clarke","5,000","PF/C","MEM@BKN","MEM","BKN","20.0"
"KJ Martin","4,400","SF/PF","GSW@HOU","HOU","GSW","19.9"
"Terry Rozier","7,700","SG/PG","CHA@WAS","CHA","WAS","19.2"
"Draymond Green","6,100","PF/C","GSW@HOU","GSW","HOU","18.5"
"Bones Hyland","5,800","PG","DEN@DAL","DEN","DAL","17.8"
"John Konchar","4,900","SF/SG","MEM@BKN","MEM","BKN","17.7"
"LeBron James","10,000","SF/PF","SAS@LAL","LAL","SAS","17.4"
"Steven Adams","5,300","C","MEM@BKN","MEM","BKN","16.0"
"Kevon Looney","4,700","C/PF","GSW@HOU","GSW","HOU","15.5"
"Kevin Durant","11,000","SF/PF","MEM@BKN","BKN","MEM","15.4"
"Ben Simmons","6,200","PG/PF","MEM@BKN","BKN","MEM","15.1"
"Alperen Sengun","6,700","C","GSW@HOU","HOU","GSW","14.5"
"Deni Avdija","4,300","SF/PF","CHA@WAS","WAS","CHA","14.0"
"Royce O'Neale","5,500","SF/PF","MEM@BKN","BKN","MEM","13.3"
"Keldon Johnson","7,000","PF/SF","SAS@LAL","SAS","LAL","13.1"
"Darius Garland","8,400","SG/PG","MIA@CLE","CLE","MIA","11.9"
"Andrew Wiggins","6,900","SF/PF","GSW@HOU","GSW","HOU","11.8"
"Caleb Martin","5,400","SF/SG","MIA@CLE","MIA","CLE","11.7"
"Dorian Finney-Smith","4,000","SF/PF","DEN@DAL","DAL","DEN","11.4"
"Bradley Beal","8,200","SG","CHA@WAS","WAS","CHA","11.3"
"Anthony Davis","11,400","PF/C","SAS@LAL","LAL","SAS","11.1"
"De'Aaron Fox","9,600","PG","DET@SAC","SAC","DET","11.1"
"Gabe Vincent","4,800","PG/SG","MIA@CLE","MIA","CLE","11.1"
"Kyle Kuzma","7,600","SF/PF","CHA@WAS","WAS","CHA","10.5"
"Jakob Poeltl","7,700","C","SAS@LAL","SAS","LAL","9.9"
"Domantas Sabonis","9,500","C/PF","DET@SAC","SAC","DET","9.7"
"Eric Gordon","5,000","SF/SG","GSW@HOU","HOU","GSW","9.2"
"Gordon Hayward","6,400","SF/SG","CHA@WAS","CHA","WAS","8.7"
"Mason Plumlee","5,700","C","CHA@WAS","CHA","WAS","8.6"
"Tari Eason","4,200","SF","GSW@HOU","HOU","GSW","8.5"
"Usman Garuba","4,200","PF","GSW@HOU","HOU","GSW","8.1"
"Kevin Huerter","5,700","SG/SF","DET@SAC","SAC","DET","7.3"
"DeAndre Jordan","4,600","C","DEN@DAL","DEN","DAL","6.7"
"Killian Hayes","5,600","PG","DET@SAC","DET","SAC","6.6"
