"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Joel Embiid","57.05","C","PHI","MIL","34.4","11,200","5.09","1.05"
"Luka Dončić","55.44","PG/SG","DAL","DEN","35.3","12,000","4.62","-4.56"
"Anthony Davis","55.05","PF/C","LAL","DET","35.2","11,000","5.00","0.05"
"Giannis Antetokounmpo","53.39","PF/SF","MIL","PHI","33.1","11,500","4.64","-4.11"
"Ja Morant","50.26","PG","MEM","OKC","33.0","10,100","4.98","-0.24"
"Shai Gilgeous-Alexander","49.59","SG/PG","OKC","MEM","34.3","10,800","4.59","-4.41"
"Stephen Curry","49.18","PG","GSW","NYK","33.6","10,500","4.68","-3.32"
"Jayson Tatum","47.79","PF/SF","BOS","NOP","36.8","10,500","4.55","-4.71"
"Devin Booker","45.89","SG","PHX","UTA","38.0","9,000","5.10","0.89"
"Tyrese Haliburton","44.58","PG/SG","IND","HOU","33.3","8,900","5.01","0.08"
"Kristaps Porziņģis","41.95","C/PF","WAS","MIA","31.4","8,600","4.88","-1.05"
"Donovan Mitchell","41.16","SG/PG","CLE","CHA","35.9","9,700","4.24","-7.34"
"Kyle Lowry","39.74","PG","MIA","WAS","36.1","6,700","5.93","6.24"
"Jaylen Brown","39.65","SF/SG","BOS","NOP","36.2","8,200","4.84","-1.35"
"Russell Westbrook","39.42","PG","LAL","DET","30.7","7,600","5.19","1.42"
"Myles Turner","38.92","C/PF","IND","HOU","27.6","7,800","4.99","-0.08"
"CJ McCollum","38.06","PG/SG","NOP","BOS","35.0","8,400","4.53","-3.94"
"Julius Randle","37.25","PF/C","NYK","GSW","32.9","8,000","4.66","-2.75"
"Brandon Ingram","37.09","SF/SG","NOP","BOS","33.8","8,000","4.64","-2.91"
"Bradley Beal","36.71","SG","WAS","MIA","35.3","8,200","4.48","-4.29"
"Caleb Martin","36.70","SF/SG","MIA","WAS","38.8","5,100","7.20","11.20"
"Darius Garland","36.62","SG/PG","CLE","CHA","35.6","8,100","4.52","-3.88"
"Tyrese Maxey","36.51","PG/SG","PHI","MIL","37.1","7,600","4.80","-1.49"
"DeMar DeRozan","36.48","SG/SF","CHI","ORL","32.2","7,900","4.62","-3.02"
"Terry Rozier","36.40","SG/PG","CHA","CLE","35.3","7,700","4.73","-2.10"
"Jalen Green","35.79","SG/PG","HOU","IND","34.8","6,500","5.51","3.29"
"Nikola Vučević","35.71","C","CHI","ORL","30.5","7,900","4.52","-3.79"
"Zach LaVine","35.49","SG/SF","CHI","ORL","34.0","7,400","4.80","-1.51"
"Mikal Bridges","35.44","SG/SF","PHX","UTA","40.7","6,900","5.14","0.94"
"Alperen Şengün","34.92","C","HOU","IND","28.0","6,700","5.21","1.42"
"Kyle Kuzma","34.80","SF/PF","WAS","MIA","33.4","7,300","4.77","-1.70"
"Jalen Brunson","34.74","PG/SG","NYK","GSW","32.0","7,500","4.63","-2.76"
"Lauri Markkanen","34.74","PF/SF","UTA","PHX","32.4","7,600","4.57","-3.26"
"Wendell Carter Jr.","34.19","C/PF","ORL","CHI","31.3","7,000","4.88","-0.81"
"Jaden Ivey","33.67","SG","DET","LAL","33.6","7,000","4.81","-1.33"
"Deandre Ayton","33.66","C","PHX","UTA","30.0","6,700","5.02","0.16"
"Jarrett Allen","33.57","C/PF","CLE","CHA","30.4","6,900","4.86","-0.93"
"Max Strus","32.76","SG/SF","MIA","WAS","37.9","5,600","5.85","4.76"
"Josh Giddey","32.68","SG/PG","OKC","MEM","30.3","6,600","4.95","-0.32"
"Andrew Wiggins","32.67","SF/PF","GSW","NYK","32.3","6,900","4.74","-1.83"
"Franz Wagner","31.70","SF/SG","ORL","CHI","32.4","6,700","4.73","-1.80"
"Jaren Jackson Jr.","31.28","PF/C","MEM","OKC","23.9","6,300","4.96","-0.22"
"Cameron Payne","31.25","PG/SG","PHX","UTA","31.3","6,000","5.21","1.25"
