gameTime,athleteName,team,oppTeam,pctPlay
7:00 PM ET,Caleb Martin,MIA,WAS,75
7:00 PM ET,Dewayne Dedmon,MIA,WAS,50
7:00 PM ET,Bam Adebayo,MIA,WAS,25
7:30 PM ET,Gordon Hayward,CHA,CLE,50
7:30 PM ET,Jarrett Allen,CLE,CHA,50
7:30 PM ET,Dennis Smith Jr.,CHA,CLE,25
7:30 PM ET,Dean Wade,CLE,CHA,25
7:30 PM ET,Grayson Allen,MIL,PHI,75
7:30 PM ET,Jrue Holiday,MIL,PHI,50
7:30 PM ET,Tobias Harris,PHI,MIL,50
8:00 PM ET,,HOU,IND,50
8:30 PM ET,Zion Williamson,NOP,BOS,50
8:30 PM ET,JaVale McGee,DAL,DEN,75
8:30 PM ET,Aaron Gordon,DEN,DAL,50
8:30 PM ET,Reggie Bullock,DAL,DEN,50
8:30 PM ET,Ish Smith,DEN,DAL,25
9:00 PM ET,Chris Paul,PHX,UTA,50
9:00 PM ET,Josh Okogie,PHX,UTA,50
10:00 PM ET,Mitchell Robinson,NYK,GSW,25
10:30 PM ET,Anthony Davis,LAL,DET,75
10:30 PM ET,LeBron James,LAL,DET,50
